,point,date,opt1,opt2,diff_opt1,diff_opt2
0,5.999999999999996,2018-8-2 17:1:40,95.0,57.0,0.0,0.0
1,5.999999999999996,2018-8-2 17:1:40,80.0,54.0,-15.0,-3.0
2,5.999999999999996,2018-8-2 17:1:40,98.0,73.0,18.0,19.0
3,5.999999999999996,2018-8-2 17:1:40,78.0,62.0,-20.0,-11.0
4,5.999999999999996,2018-8-2 17:1:40,91.0,67.0,13.0,5.0
5,5.999999999999996,2018-8-2 17:1:40,91.0,69.0,0.0,2.0
6,5.999999999999996,2018-8-2 17:1:40,84.0,78.0,-7.0,9.0
7,5.999999999999996,2018-8-2 17:1:40,83.0,67.0,-1.0,-11.0
8,5.999999999999996,2018-8-2 17:1:40,94.0,75.0,11.0,8.0
9,5.999999999999996,2018-8-2 17:1:40,72.0,74.0,-22.0,-1.0
10,5.999999999999996,2018-8-2 17:1:40,77.0,60.0,5.0,-14.0
11,5.999999999999996,2018-8-2 17:1:40,70.0,72.0,-7.0,12.0
12,5.999999999999996,2018-8-2 17:1:40,98.0,55.0,28.0,-17.0
13,5.999999999999996,2018-8-2 17:1:40,81.0,59.0,-17.0,4.0
14,5.999999999999996,2018-8-2 17:1:40,78.0,69.0,-3.0,10.0
15,5.999999999999996,2018-8-2 17:1:40,69.0,81.0,-9.0,12.0
16,5.999999999999996,2018-8-2 17:1:40,83.0,74.0,14.0,-7.0
17,5.999999999999996,2018-8-2 17:1:40,98.0,86.0,15.0,12.0
18,5.999999999999996,2018-8-2 17:1:40,83.0,75.0,-15.0,-11.0
19,5.999999999999996,2018-8-2 17:1:40,99.0,67.0,16.0,-8.0
