,point,date,opt1,opt2,diff_opt1,diff_opt2
0,1.2000000000000002,2018-8-1 16:1:40,71.0,71.0,0.0,0.0
1,1.2000000000000002,2018-8-1 16:1:40,92.0,58.0,21.0,-13.0
2,1.2000000000000002,2018-8-1 16:1:40,82.0,59.0,-10.0,1.0
3,1.2000000000000002,2018-8-1 16:1:40,91.0,67.0,9.0,8.0
4,1.2000000000000002,2018-8-1 16:1:40,71.0,65.0,-20.0,-2.0
5,1.2000000000000002,2018-8-1 16:1:40,86.0,75.0,15.0,10.0
6,1.2000000000000002,2018-8-1 16:1:40,80.0,59.0,-6.0,-16.0
7,1.2000000000000002,2018-8-1 16:1:40,83.0,56.0,3.0,-3.0
8,1.2000000000000002,2018-8-1 16:1:40,87.0,56.0,4.0,0.0
9,1.2000000000000002,2018-8-1 16:1:40,93.0,62.0,6.0,6.0
10,1.2000000000000002,2018-8-1 16:1:40,70.0,54.0,-23.0,-8.0
11,1.2000000000000002,2018-8-1 16:1:40,93.0,50.0,23.0,-4.0
12,1.2000000000000002,2018-8-1 16:1:40,92.0,81.0,-1.0,31.0
13,1.2000000000000002,2018-8-1 16:1:40,93.0,68.0,1.0,-13.0
14,1.2000000000000002,2018-8-1 16:1:40,69.0,55.0,-24.0,-13.0
15,1.2000000000000002,2018-8-1 16:1:40,81.0,63.0,12.0,8.0
16,1.2000000000000002,2018-8-1 16:1:40,90.0,49.0,9.0,-14.0
17,1.2000000000000002,2018-8-1 16:1:40,89.0,65.0,-1.0,16.0
18,1.2000000000000002,2018-8-1 16:1:40,87.0,59.0,-2.0,-6.0
19,1.2000000000000002,2018-8-1 16:1:40,71.0,85.0,-16.0,26.0
