,point,date,opt1,opt2,diff_opt1,diff_opt2
0,1.9000000000000008,2018-8-1 19:31:50,89.0,77.0,0.0,0.0
1,1.9000000000000008,2018-8-1 19:31:50,69.0,58.0,-20.0,-19.0
2,1.9000000000000008,2018-8-1 19:31:50,94.0,67.0,25.0,9.0
3,1.9000000000000008,2018-8-1 19:31:50,90.0,78.0,-4.0,11.0
4,1.9000000000000008,2018-8-1 19:31:50,77.0,71.0,-13.0,-7.0
5,1.9000000000000008,2018-8-1 19:31:50,92.0,65.0,15.0,-6.0
6,1.9000000000000008,2018-8-1 19:31:50,78.0,64.0,-14.0,-1.0
7,1.9000000000000008,2018-8-1 19:31:50,92.0,61.0,14.0,-3.0
8,1.9000000000000008,2018-8-1 19:31:50,93.0,64.0,1.0,3.0
9,1.9000000000000008,2018-8-1 19:31:50,81.0,61.0,-12.0,-3.0
10,1.9000000000000008,2018-8-1 19:31:50,75.0,80.0,-6.0,19.0
11,1.9000000000000008,2018-8-1 19:31:50,96.0,85.0,21.0,5.0
12,1.9000000000000008,2018-8-1 19:31:50,90.0,56.0,-6.0,-29.0
13,1.9000000000000008,2018-8-1 19:31:50,81.0,68.0,-9.0,12.0
14,1.9000000000000008,2018-8-1 19:31:50,88.0,61.0,7.0,-7.0
15,1.9000000000000008,2018-8-1 19:31:50,92.0,55.0,4.0,-6.0
16,1.9000000000000008,2018-8-1 19:31:50,98.0,65.0,6.0,10.0
17,1.9000000000000008,2018-8-1 19:31:50,98.0,86.0,0.0,21.0
18,1.9000000000000008,2018-8-1 19:31:50,96.0,68.0,-2.0,-18.0
19,1.9000000000000008,2018-8-1 19:31:50,92.0,73.0,-4.0,5.0
