,point,date,opt1,opt2,diff_opt1,diff_opt2
0,9.799999999999983,2018-8-3 13:1:0,99.0,70.0,0.0,0.0
1,9.799999999999983,2018-8-3 13:1:0,94.0,66.0,-5.0,-4.0
2,9.799999999999983,2018-8-3 13:1:0,77.0,69.0,-17.0,3.0
3,9.799999999999983,2018-8-3 13:1:0,89.0,85.0,12.0,16.0
4,9.799999999999983,2018-8-3 13:1:0,92.0,78.0,3.0,-7.0
5,9.799999999999983,2018-8-3 13:1:0,73.0,79.0,-19.0,1.0
6,9.799999999999983,2018-8-3 13:1:0,99.0,70.0,26.0,-9.0
7,9.799999999999983,2018-8-3 13:1:0,89.0,72.0,-10.0,2.0
8,9.799999999999983,2018-8-3 13:1:0,77.0,88.0,-12.0,16.0
9,9.799999999999983,2018-8-3 13:1:0,91.0,62.0,14.0,-26.0
10,9.799999999999983,2018-8-3 13:1:0,96.0,82.0,5.0,20.0
11,9.799999999999983,2018-8-3 13:1:0,83.0,66.0,-13.0,-16.0
12,9.799999999999983,2018-8-3 13:1:0,78.0,59.0,-5.0,-7.0
13,9.799999999999983,2018-8-3 13:1:0,89.0,49.0,11.0,-10.0
14,9.799999999999983,2018-8-3 13:1:0,89.0,61.0,0.0,12.0
15,9.799999999999983,2018-8-3 13:1:0,83.0,81.0,-6.0,20.0
16,9.799999999999983,2018-8-3 13:1:0,94.0,64.0,11.0,-17.0
17,9.799999999999983,2018-8-3 13:1:0,87.0,79.0,-7.0,15.0
18,9.799999999999983,2018-8-3 13:1:0,84.0,74.0,-3.0,-5.0
19,9.799999999999983,2018-8-3 13:1:0,73.0,58.0,-11.0,-16.0
