,point,date,opt1,opt2,diff_opt1,diff_opt2
0,7.399999999999991,2018-8-3 1:1:0,84.0,65.0,0.0,0.0
1,7.399999999999991,2018-8-3 1:1:0,97.0,75.0,13.0,10.0
2,7.399999999999991,2018-8-3 1:1:0,90.0,53.0,-7.0,-22.0
3,7.399999999999991,2018-8-3 1:1:0,73.0,81.0,-17.0,28.0
4,7.399999999999991,2018-8-3 1:1:0,70.0,73.0,-3.0,-8.0
5,7.399999999999991,2018-8-3 1:1:0,81.0,82.0,11.0,9.0
6,7.399999999999991,2018-8-3 1:1:0,98.0,84.0,17.0,2.0
7,7.399999999999991,2018-8-3 1:1:0,75.0,66.0,-23.0,-18.0
8,7.399999999999991,2018-8-3 1:1:0,97.0,86.0,22.0,20.0
9,7.399999999999991,2018-8-3 1:1:0,75.0,86.0,-22.0,0.0
10,7.399999999999991,2018-8-3 1:1:0,93.0,85.0,18.0,-1.0
11,7.399999999999991,2018-8-3 1:1:0,90.0,85.0,-3.0,0.0
12,7.399999999999991,2018-8-3 1:1:0,80.0,59.0,-10.0,-26.0
13,7.399999999999991,2018-8-3 1:1:0,73.0,56.0,-7.0,-3.0
14,7.399999999999991,2018-8-3 1:1:0,91.0,52.0,18.0,-4.0
15,7.399999999999991,2018-8-3 1:1:0,69.0,74.0,-22.0,22.0
16,7.399999999999991,2018-8-3 1:1:0,70.0,76.0,1.0,2.0
17,7.399999999999991,2018-8-3 1:1:0,70.0,82.0,0.0,6.0
18,7.399999999999991,2018-8-3 1:1:0,70.0,72.0,0.0,-10.0
19,7.399999999999991,2018-8-3 1:1:0,74.0,56.0,4.0,-16.0
