,point,date,opt1,opt2,diff_opt1,diff_opt2
0,4.8,2018-8-2 11:1:40,92.0,78.0,0.0,0.0
1,4.8,2018-8-2 11:1:40,69.0,52.0,-23.0,-26.0
2,4.8,2018-8-2 11:1:40,86.0,78.0,17.0,26.0
3,4.8,2018-8-2 11:1:40,82.0,72.0,-4.0,-6.0
4,4.8,2018-8-2 11:1:40,91.0,63.0,9.0,-9.0
5,4.8,2018-8-2 11:1:40,82.0,77.0,-9.0,14.0
6,4.8,2018-8-2 11:1:40,78.0,61.0,-4.0,-16.0
7,4.8,2018-8-2 11:1:40,71.0,74.0,-7.0,13.0
8,4.8,2018-8-2 11:1:40,85.0,76.0,14.0,2.0
9,4.8,2018-8-2 11:1:40,90.0,65.0,5.0,-11.0
10,4.8,2018-8-2 11:1:40,74.0,54.0,-16.0,-11.0
11,4.8,2018-8-2 11:1:40,81.0,65.0,7.0,11.0
12,4.8,2018-8-2 11:1:40,74.0,86.0,-7.0,21.0
13,4.8,2018-8-2 11:1:40,82.0,83.0,8.0,-3.0
14,4.8,2018-8-2 11:1:40,89.0,75.0,7.0,-8.0
15,4.8,2018-8-2 11:1:40,84.0,88.0,-5.0,13.0
16,4.8,2018-8-2 11:1:40,90.0,62.0,6.0,-26.0
17,4.8,2018-8-2 11:1:40,90.0,67.0,0.0,5.0
18,4.8,2018-8-2 11:1:40,75.0,73.0,-15.0,6.0
19,4.8,2018-8-2 11:1:40,84.0,67.0,9.0,-6.0
