,point,date,opt1,opt2,diff_opt1,diff_opt2
0,4.999999999999999,2018-8-2 12:1:0,77.0,71.0,0.0,0.0
1,4.999999999999999,2018-8-2 12:1:0,99.0,71.0,22.0,0.0
2,4.999999999999999,2018-8-2 12:1:0,80.0,63.0,-19.0,-8.0
3,4.999999999999999,2018-8-2 12:1:0,82.0,78.0,2.0,15.0
4,4.999999999999999,2018-8-2 12:1:0,99.0,87.0,17.0,9.0
5,4.999999999999999,2018-8-2 12:1:0,88.0,88.0,-11.0,1.0
6,4.999999999999999,2018-8-2 12:1:0,70.0,72.0,-18.0,-16.0
7,4.999999999999999,2018-8-2 12:1:0,73.0,56.0,3.0,-16.0
8,4.999999999999999,2018-8-2 12:1:0,76.0,75.0,3.0,19.0
9,4.999999999999999,2018-8-2 12:1:0,76.0,89.0,0.0,14.0
10,4.999999999999999,2018-8-2 12:1:0,98.0,63.0,22.0,-26.0
11,4.999999999999999,2018-8-2 12:1:0,95.0,75.0,-3.0,12.0
12,4.999999999999999,2018-8-2 12:1:0,70.0,69.0,-25.0,-6.0
13,4.999999999999999,2018-8-2 12:1:0,97.0,58.0,27.0,-11.0
14,4.999999999999999,2018-8-2 12:1:0,75.0,62.0,-22.0,4.0
15,4.999999999999999,2018-8-2 12:1:0,90.0,74.0,15.0,12.0
16,4.999999999999999,2018-8-2 12:1:0,79.0,76.0,-11.0,2.0
17,4.999999999999999,2018-8-2 12:1:0,78.0,73.0,-1.0,-3.0
18,4.999999999999999,2018-8-2 12:1:0,81.0,72.0,3.0,-1.0
19,4.999999999999999,2018-8-2 12:1:0,93.0,84.0,12.0,12.0
