,point,date,opt1,opt2,diff_opt1,diff_opt2
0,10.199999999999982,2018-8-3 15:1:40,95.0,72.0,0.0,0.0
1,10.199999999999982,2018-8-3 15:1:40,86.0,54.0,-9.0,-18.0
2,10.199999999999982,2018-8-3 15:1:40,70.0,53.0,-16.0,-1.0
3,10.199999999999982,2018-8-3 15:1:40,88.0,61.0,18.0,8.0
4,10.199999999999982,2018-8-3 15:1:40,78.0,63.0,-10.0,2.0
5,10.199999999999982,2018-8-3 15:1:40,70.0,69.0,-8.0,6.0
6,10.199999999999982,2018-8-3 15:1:40,75.0,64.0,5.0,-5.0
7,10.199999999999982,2018-8-3 15:1:40,84.0,83.0,9.0,19.0
8,10.199999999999982,2018-8-3 15:1:40,78.0,78.0,-6.0,-5.0
9,10.199999999999982,2018-8-3 15:1:40,92.0,54.0,14.0,-24.0
10,10.199999999999982,2018-8-3 15:1:40,69.0,89.0,-23.0,35.0
11,10.199999999999982,2018-8-3 15:1:40,77.0,71.0,8.0,-18.0
12,10.199999999999982,2018-8-3 15:1:40,88.0,49.0,11.0,-22.0
13,10.199999999999982,2018-8-3 15:1:40,83.0,65.0,-5.0,16.0
14,10.199999999999982,2018-8-3 15:1:40,87.0,50.0,4.0,-15.0
15,10.199999999999982,2018-8-3 15:1:40,70.0,70.0,-17.0,20.0
16,10.199999999999982,2018-8-3 15:1:40,87.0,61.0,17.0,-9.0
17,10.199999999999982,2018-8-3 15:1:40,93.0,49.0,6.0,-12.0
18,10.199999999999982,2018-8-3 15:1:40,96.0,68.0,3.0,19.0
19,10.199999999999982,2018-8-3 15:1:40,96.0,79.0,0.0,11.0
