,point,date,opt1,opt2,diff_opt1,diff_opt2
0,2.6000000000000014,2018-8-1 23:1:0,93.0,63.0,0.0,0.0
1,2.6000000000000014,2018-8-1 23:1:0,93.0,71.0,0.0,8.0
2,2.6000000000000014,2018-8-1 23:1:0,91.0,65.0,-2.0,-6.0
3,2.6000000000000014,2018-8-1 23:1:0,87.0,78.0,-4.0,13.0
4,2.6000000000000014,2018-8-1 23:1:0,93.0,49.0,6.0,-29.0
5,2.6000000000000014,2018-8-1 23:1:0,72.0,65.0,-21.0,16.0
6,2.6000000000000014,2018-8-1 23:1:0,93.0,55.0,21.0,-10.0
7,2.6000000000000014,2018-8-1 23:1:0,70.0,59.0,-23.0,4.0
8,2.6000000000000014,2018-8-1 23:1:0,91.0,87.0,21.0,28.0
9,2.6000000000000014,2018-8-1 23:1:0,82.0,65.0,-9.0,-22.0
10,2.6000000000000014,2018-8-1 23:1:0,98.0,59.0,16.0,-6.0
11,2.6000000000000014,2018-8-1 23:1:0,76.0,67.0,-22.0,8.0
12,2.6000000000000014,2018-8-1 23:1:0,85.0,59.0,9.0,-8.0
13,2.6000000000000014,2018-8-1 23:1:0,78.0,78.0,-7.0,19.0
14,2.6000000000000014,2018-8-1 23:1:0,99.0,77.0,21.0,-1.0
15,2.6000000000000014,2018-8-1 23:1:0,71.0,52.0,-28.0,-25.0
16,2.6000000000000014,2018-8-1 23:1:0,73.0,71.0,2.0,19.0
17,2.6000000000000014,2018-8-1 23:1:0,81.0,78.0,8.0,7.0
18,2.6000000000000014,2018-8-1 23:1:0,92.0,83.0,11.0,5.0
19,2.6000000000000014,2018-8-1 23:1:0,76.0,68.0,-16.0,-15.0
