,point,date,opt1,opt2,diff_opt1,diff_opt2
0,1.1,2018-8-1 15:31:30,77.0,66.0,0.0,0.0
1,1.1,2018-8-1 15:31:30,86.0,84.0,9.0,18.0
2,1.1,2018-8-1 15:31:30,88.0,81.0,2.0,-3.0
3,1.1,2018-8-1 15:31:30,95.0,68.0,7.0,-13.0
4,1.1,2018-8-1 15:31:30,89.0,54.0,-6.0,-14.0
5,1.1,2018-8-1 15:31:30,85.0,70.0,-4.0,16.0
6,1.1,2018-8-1 15:31:30,83.0,49.0,-2.0,-21.0
7,1.1,2018-8-1 15:31:30,88.0,49.0,5.0,0.0
8,1.1,2018-8-1 15:31:30,77.0,62.0,-11.0,13.0
9,1.1,2018-8-1 15:31:30,73.0,81.0,-4.0,19.0
10,1.1,2018-8-1 15:31:30,71.0,87.0,-2.0,6.0
11,1.1,2018-8-1 15:31:30,94.0,49.0,23.0,-38.0
12,1.1,2018-8-1 15:31:30,79.0,75.0,-15.0,26.0
13,1.1,2018-8-1 15:31:30,81.0,60.0,2.0,-15.0
14,1.1,2018-8-1 15:31:30,81.0,54.0,0.0,-6.0
15,1.1,2018-8-1 15:31:30,87.0,67.0,6.0,13.0
16,1.1,2018-8-1 15:31:30,73.0,87.0,-14.0,20.0
17,1.1,2018-8-1 15:31:30,70.0,61.0,-3.0,-26.0
18,1.1,2018-8-1 15:31:30,77.0,85.0,7.0,24.0
19,1.1,2018-8-1 15:31:30,80.0,75.0,3.0,-10.0
