,point,date,opt1,opt2,diff_opt1,diff_opt2
0,6.099999999999995,2018-8-2 17:31:50,76.0,74.0,0.0,0.0
1,6.099999999999995,2018-8-2 17:31:50,86.0,85.0,10.0,11.0
2,6.099999999999995,2018-8-2 17:31:50,90.0,60.0,4.0,-25.0
3,6.099999999999995,2018-8-2 17:31:50,79.0,68.0,-11.0,8.0
4,6.099999999999995,2018-8-2 17:31:50,99.0,62.0,20.0,-6.0
5,6.099999999999995,2018-8-2 17:31:50,75.0,51.0,-24.0,-11.0
6,6.099999999999995,2018-8-2 17:31:50,95.0,59.0,20.0,8.0
7,6.099999999999995,2018-8-2 17:31:50,81.0,61.0,-14.0,2.0
8,6.099999999999995,2018-8-2 17:31:50,95.0,71.0,14.0,10.0
9,6.099999999999995,2018-8-2 17:31:50,69.0,56.0,-26.0,-15.0
10,6.099999999999995,2018-8-2 17:31:50,71.0,50.0,2.0,-6.0
11,6.099999999999995,2018-8-2 17:31:50,99.0,77.0,28.0,27.0
12,6.099999999999995,2018-8-2 17:31:50,78.0,87.0,-21.0,10.0
13,6.099999999999995,2018-8-2 17:31:50,87.0,75.0,9.0,-12.0
14,6.099999999999995,2018-8-2 17:31:50,88.0,64.0,1.0,-11.0
15,6.099999999999995,2018-8-2 17:31:50,76.0,79.0,-12.0,15.0
16,6.099999999999995,2018-8-2 17:31:50,87.0,80.0,11.0,1.0
17,6.099999999999995,2018-8-2 17:31:50,84.0,79.0,-3.0,-1.0
18,6.099999999999995,2018-8-2 17:31:50,87.0,70.0,3.0,-9.0
19,6.099999999999995,2018-8-2 17:31:50,75.0,71.0,-12.0,1.0
