,point,date,opt1,opt2,diff_opt1,diff_opt2
0,6.799999999999993,2018-8-2 21:1:0,87.0,81.0,0.0,0.0
1,6.799999999999993,2018-8-2 21:1:0,91.0,68.0,4.0,-13.0
2,6.799999999999993,2018-8-2 21:1:0,75.0,71.0,-16.0,3.0
3,6.799999999999993,2018-8-2 21:1:0,70.0,85.0,-5.0,14.0
4,6.799999999999993,2018-8-2 21:1:0,95.0,87.0,25.0,2.0
5,6.799999999999993,2018-8-2 21:1:0,78.0,84.0,-17.0,-3.0
6,6.799999999999993,2018-8-2 21:1:0,72.0,53.0,-6.0,-31.0
7,6.799999999999993,2018-8-2 21:1:0,80.0,68.0,8.0,15.0
8,6.799999999999993,2018-8-2 21:1:0,97.0,85.0,17.0,17.0
9,6.799999999999993,2018-8-2 21:1:0,98.0,49.0,1.0,-36.0
10,6.799999999999993,2018-8-2 21:1:0,76.0,83.0,-22.0,34.0
11,6.799999999999993,2018-8-2 21:1:0,93.0,51.0,17.0,-32.0
12,6.799999999999993,2018-8-2 21:1:0,83.0,51.0,-10.0,0.0
13,6.799999999999993,2018-8-2 21:1:0,86.0,52.0,3.0,1.0
14,6.799999999999993,2018-8-2 21:1:0,83.0,88.0,-3.0,36.0
15,6.799999999999993,2018-8-2 21:1:0,86.0,53.0,3.0,-35.0
16,6.799999999999993,2018-8-2 21:1:0,93.0,49.0,7.0,-4.0
17,6.799999999999993,2018-8-2 21:1:0,97.0,84.0,4.0,35.0
18,6.799999999999993,2018-8-2 21:1:0,75.0,62.0,-22.0,-22.0
19,6.799999999999993,2018-8-2 21:1:0,84.0,54.0,9.0,-8.0
